Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
40	177.62398	19.173073	200.91599	143.02449	699.1667	19.222372	20.092804	95.10791	-29.347105	205000	-1.9550324e-09	166.18335	-0.0064478763	-52.679787	0.90948915	0.0008369654	0.0266	79.0	217.72506713867188
41	173.31352	44.415813	221.84836	92.80065	782.5	15.940863	23.209972	92.91385	-22.5755	210000	-9.155274e-09	284.772	-0.0064868666	-168.44592	0.9053744	0.006666161	0.0386	79.0	223.274747133255
42	201.18094	27.722425	250.05449	161.71568	585.5	24.620718	24.053131	89.603096	-4.0637794	215000	2.8705596e-08	66.04329	-0.010822762	-27.661026	0.91545546	0.0094382735	0.068	79.0	229.2991418838501
43	196.82933	30.827532	236.92047	149.97237	700.5714	27.269066	26.231424	96.20649	-5.4352894	220000	3.8146974e-09	155.8886	-0.009860953	-58.395668	0.8866244	0.01011158	0.084	79.0	235.25889801979065
44	153.6506	119.66786	241.31984	-151.09383	617.25	27.0584	26.083652	96.12216	-82.01301	225000	2.4795532e-09	773.733	-0.0088326195	-338.7224	0.858909	0.0046237884	0.043	79.0	240.5142524242401
45	217.45483	33.18837	264.8343	161.32275	558.75	22.285576	21.457493	92.59392	-6.9934373	230000	3.490448e-08	206.88634	-0.0029331765	-167.5331	0.87735546	0.01257435	0.1622	6.0	245.2129442691803
46	191.73001	67.92302	254.73769	25.601402	502.33334	34.741276	30.618893	103.24198	-68.90799	235000	3.042221e-08	907.3559	-0.01037857	-425.6503	0.8377915	0.006331775	0.0348	79.0	249.8006091117859
47	211.47713	18.56505	243.02061	183.10992	491.6	29.3309	17.948555	86.876236	-32.5961	240000	-4.7683715e-09	201.56668	-0.0067884084	-168.69708	0.87213105	0.0033069528	0.0532	79.0	254.77422666549683
48	223.60745	28.132975	269.46182	157.67313	533.8889	40.35503	25.353241	97.998245	-24.534773	245000	2.0980835e-09	459.7079	-0.011447096	-185.72168	0.81071746	0.010098807	0.0712	79.0	259.27121901512146
49	177.86658	89.187164	260.6787	-5.456929	533.3333	36.42211	18.419329	80.247154	5.8778143	250000	2.4414062e-08	952.4221	-0.0064487853	-439.4765	0.78898126	0.0022654098	0.0314	79.0	263.8409175872803
50	184.60867	78.71647	244.74998	-31.19289	481.0	30.176823	18.054256	87.62507	-32.106	255000	3.3855438e-09	729.3194	-0.0065252976	-217.9317	0.80198604	0.0051316405	0.0592	79.0	268.2434961795807
51	170.68872	93.119225	236.45279	-9.365881	475.8	30.685656	17.405708	80.49215	-5.3183413	260000	-3.1471252e-09	905.4068	-0.0088335145	-164.08466	0.80743897	0.004897581	0.0632	79.0	272.5417730808258
